msa,Population,Unemployment (%),Remote (%),Travel_Time,Household_Income,Worker_Income,msa_id,latitude,longitude,Total_Homes,Occupied_Homes,Vacant_Homes,Vacant_Homes_Percent
"Aberdeen, SD Micro Area",42292,3.5,6.0,13.9,70693,40136,10100,45.5832968,-98.3674786,19825,17676,2149,10.83984867591425
"Aberdeen, WA Micro Area",75672,6.4,8.4,24.0,59105,35642,10140,47.1744169,-123.8658829,36058,29869,6189,17.16401353375118
"Abilene, TX Metro Area",176656,2.8,7.0,18.2,61924,33841,10180,32.2810409,-99.3612437,74341,65806,8535,11.480878653771136
"Ada, OK Micro Area",38116,4.3,3.2,17.9,59457,39638,10220,34.707331,-96.6814853,17406,15179,2227,12.794438699299093
"Adrian, MI Micro Area",99263,5.6,7.3,26.8,65484,35277,10300,41.8735258,-84.0624323,43577,38581,4996,11.464763522041444
"Akron, OH Metro Area",700578,5.3,11.0,23.8,68647,40173,10420,41.1496775,-81.2082,317145,294385,22760,7.176528086521938
"Alamogordo, NM Micro Area",67850,9.6,4.8,22.2,50833,31191,10460,32.5059533,-105.8063662,32210,25932,6278,19.49084135361689
"Albany, GA Metro Area",147716,8.1,5.2,22.4,53173,35068,10500,31.5426984,-84.1960829,66756,59070,7686,11.513571813769548
"Albany-Schenectady-Troy, NY Metro Area",901729,5.0,11.7,23.4,83360,47144,10580,42.5986896,-73.9843997,417490,376039,41451,9.928621044815443
"Albemarle, NC Micro Area",62723,4.3,6.4,28.2,60634,36537,10620,35.3235477,-80.2391366,27685,24742,2943,10.630305219432906
"Albert Lea, MN Micro Area",30857,4.4,6.8,20.3,65679,41769,10660,43.6763617,-93.3501681,14114,13076,1038,7.354399886637382
"Albertville, AL Micro Area",97923,3.8,5.7,25.3,58272,34543,10700,34.3396046,-86.3301801,41245,37257,3988,9.66905079403564
"Albuquerque, NM Metro Area",915968,5.7,11.1,24.4,63971,37907,10740,35.0349239,-106.6870693,395152,367863,27289,6.905950115398632
"Alexander City, AL Micro Area",51580,9.3,4.3,28.5,53054,33632,10760,32.8595687,-85.8023774,28685,21827,6858,23.907965835802685
"Alexandria, LA Metro Area",151721,5.5,3.7,24.5,55650,35377,10780,31.5748918,-92.5730029,66906,59091,7815,11.680566765312529
"Alexandria, MN Micro Area",39081,3.1,9.9,20.2,72472,41751,10820,45.9340479,-95.4627651,21769,16557,5212,23.94230327529974
"Alice, TX Micro Area",49020,5.9,7.4,26.6,46922,34092,10860,26.9879856,-98.2071041,20552,17271,3281,15.964383028415726
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",863166,5.5,10.4,27.4,78597,42538,10900,40.8602222,-74.9720493,358023,334162,23861,6.664655622683459
"Alma, MI Micro Area",41534,4.9,6.9,24.6,57934,32140,10940,43.2903117,-84.6098023,16032,14764,1268,7.909181636726546
"Alpena, MI Micro Area",28911,7.4,7.0,17.7,49133,30486,10980,45.0176181,-83.6670019,15645,12901,2744,17.539149888143175
"Altoona, PA Metro Area",122640,4.2,5.5,20.4,59386,36790,11020,40.4870748,-78.3682329,55700,51227,4473,8.03052064631957
"Altus, OK Micro Area",24776,4.2,3.4,13.8,60954,36908,11060,34.5976018,-99.4370196,12017,9795,2222,18.490471831571934
"Amarillo, TX Metro Area",269278,3.1,5.6,19.6,64147,38681,11100,34.9295608,-101.3449139,113641,102068,11573,10.183824499960402
"Americus, GA Micro Area",33943,6.1,7.2,20.9,39867,31966,11140,32.2478949,-84.3175516,15419,13411,2008,13.022893832284844
"Ames, IA Metro Area",125273,4.7,9.6,18.8,68107,29856,11180,42.0171798,-93.9254114,53282,49254,4028,7.559776284673998
"Amsterdam, NY Micro Area",49624,5.9,7.6,24.5,58033,37222,11220,42.8941269,-74.4099745,22857,19968,2889,12.63945399658748
"Anchorage, AK Metro Area",399335,5.6,8.9,22.9,93016,48129,11260,61.2163129,-149.894852,169717,147723,21994,12.9592203491695
"Andrews, TX Micro Area",18362,2.7,2.6,25.4,86458,46109,11380,32.2690953,-102.6042447,7020,6262,758,10.797720797720798
"Angola, IN Micro Area",34507,7.1,3.6,21.8,68837,35365,11420,41.6414101,-85.0023642,18837,13766,5071,26.92042257259649
"Ann Arbor, MI Metro Area",370231,4.7,17.8,23.6,84245,39045,11460,42.2582044,-83.8440853,156882,147847,9035,5.759105569791308
"Anniston-Oxford, AL Metro Area",116162,6.9,3.2,24.8,54339,31580,11500,33.7514505,-85.8315666,53052,46437,6615,12.468898439267134
"Appleton, WI Metro Area",242972,2.9,9.4,20.7,79958,46096,11540,44.0751086,-88.2144321,100642,96790,3852,3.827427912799825
"Arcadia, FL Micro Area",34258,9.7,6.4,27.7,45000,30312,11580,27.190253,-81.8244232,15548,11941,3607,23.19912528942629
"Ardmore, OK Micro Area",58360,4.4,3.4,20.3,56968,35892,11620,34.2330314,-97.2789479,26264,22933,3331,12.682759671032592
"Arkadelphia, AR Micro Area",21469,4.1,5.4,21.3,48071,23631,11660,34.0541966,-93.198963,9977,8170,1807,18.111656810664527
"Asheville, NC Metro Area",469484,3.5,11.9,21.9,64538,36160,11700,35.6292222,-82.5255603,231509,201667,29842,12.890211611643606
"Ashland, OH Micro Area",52522,3.7,5.7,23.3,62254,34421,11740,40.7887367,-82.2360391,22471,20700,1771,7.881269191402252
"Astoria, OR Micro Area",41190,4.8,10.1,21.1,68025,37993,11820,45.980728,-123.6687499,23017,17533,5484,23.82586783681627
"Atchison, KS Micro Area",16309,4.5,6.5,20.7,55281,26470,11860,39.545816,-95.3326052,6814,6109,705,10.346345758732022
"Athens, OH Micro Area",61276,5.7,9.2,22.8,48750,20492,11900,39.355589,-82.0610404,26386,23696,2690,10.194800272871978
"Athens, TN Micro Area",53532,5.3,4.9,23.3,57982,37768,11940,35.444223,-84.624875,23934,21340,2594,10.83813821342024
"Athens, TX Micro Area",82627,5.5,7.8,29.8,59778,35433,11980,32.182598,-95.7893178,40643,32748,7895,19.42523927859656
"Athens-Clarke County, GA Metro Area",216194,4.9,10.6,23.7,59130,31191,12020,33.9597677,-83.376398,89257,83071,6186,6.930548864514828
"Atlantic City-Hammonton, NJ Metro Area",274339,8.3,7.2,25.5,73113,38183,12100,39.5143268,-74.6632883,132038,106716,25322,19.17781244793165
"Auburn, IN Micro Area",43312,4.3,3.8,20.6,68110,40324,12140,41.3991456,-85.001244,18096,16868,1228,6.786030061892132
"Auburn, NY Micro Area",76171,4.3,6.4,23.1,63227,41123,12180,42.8093409,-76.5700777,36660,31328,5332,14.544462629569011
"Auburn-Opelika, AL Metro Area",175126,3.8,7.2,22.0,59288,34621,12220,32.5814796,-85.3077038,74856,68728,6128,8.18638452495458
"Augusta-Richmond County, GA-SC Metro Area",612898,6.4,7.3,24.1,62941,36286,12260,33.0482247,-81.9575983,263559,238635,24924,9.456706088579786
"Augusta-Waterville, ME Micro Area",124003,4.1,12.0,23.9,62118,39393,12300,44.4184616,-69.8250659,62607,53223,9384,14.988739278355457
"Austin, MN Micro Area",40082,3.2,5.9,19.6,66972,42388,12380,43.6832277,-92.753704,16928,15700,1228,7.254253308128544
"Bainbridge, GA Micro Area",29063,6.4,2.1,20.3,47383,34886,12460,30.8736613,-84.5740953,13036,11466,1570,12.043571647744706
"Baltimore-Columbia-Towson, MD Metro Area",2840005,4.9,13.8,30.3,94167,54270,12580,38.9722583,-76.573454,1190095,1100767,89328,7.505955406921296
"Bangor, ME Metro Area",152640,4.3,9.4,22.6,59438,36303,12620,45.2930166,-68.5957766,74878,64250,10628,14.193755175084805
"Baraboo, WI Micro Area",65664,2.8,7.7,22.8,72930,41327,12660,43.4401728,-89.9653841,30784,27094,3690,11.98674636174636
"Barnstable Town, MA Metro Area",229436,4.5,13.1,25.0,90447,45362,12700,41.7016936,-70.3036163,164885,103368,61517,37.30903356885102
"Barre, VT Micro Area",59768,3.0,15.9,23.4,77278,44997,12740,44.2690924,-72.6146505,30645,25842,4803,15.673029858051883
"Bartlesville, OK Micro Area",52579,3.8,5.2,20.2,59426,35296,12780,36.6930592,-95.9078261,23713,21071,2642,11.141567916332813
"Batavia, NY Micro Area",58204,4.7,5.3,23.4,68178,41080,12860,43.0102726,-78.1780196,26013,24213,1800,6.919617114519664
"Batesville, AR Micro Area",55332,5.5,4.3,20.8,48875,30717,12900,35.718344,-91.55326,26166,22290,3876,14.81311625773905
"Baton Rouge, LA Metro Area",869755,6.5,5.9,27.4,67979,41016,12940,30.2116442,-90.9186104,375423,333688,41735,11.11679359016363
"Battle Creek, MI Metro Area",134011,6.8,6.4,20.6,58191,36554,12980,42.2461339,-85.0229223,59518,54406,5112,8.588998286232737
"Bay City, MI Metro Area",103752,4.8,6.8,23.1,57887,35737,13020,43.6957567,-83.9402747,48562,45005,3557,7.324657139327045
"Bay City, TX Micro Area",36251,6.7,2.9,24.9,56412,36310,13060,28.8879823,-96.0035095,18476,13716,4760,25.763152197445333
"Beatrice, NE Micro Area",21654,2.0,7.0,22.5,60035,37693,13100,40.2469449,-96.7021336,10327,9284,1043,10.099738549433525
