msa,msa_name,fipstate,fipscty,county_name,latitude,longitude
10100,"Aberdeen, SD Micro Area",46,13,"Brown County, South Dakota",45.5832968,-98.3674786
10140,"Aberdeen, WA Micro Area",53,27,"Grays Harbor County, Washington",47.1744169,-123.8658829
10180,"Abilene, TX Metro Area",48,59,"Callahan County, Texas",32.2810409,-99.3612437
10220,"Ada, OK Micro Area",40,123,"Pontotoc County, Oklahoma",34.707331,-96.6814853
10300,"Adrian, MI Micro Area",26,91,"Lenawee County, Michigan",41.8735258,-84.0624323
10420,"Akron, OH Metro Area",39,133,"Portage County, Ohio",41.1496775,-81.2082
10460,"Alamogordo, NM Micro Area",35,35,"Otero County, New Mexico",32.5059533,-105.8063662
10480,"Alamosa, CO Micro Area",8,3,"Alamosa County, Colorado",37.5780995,-105.7890452
10500,"Albany, GA Metro Area",13,95,"Dougherty County, Georgia",31.5426984,-84.1960829
10540,"Albany, OR Metro Area",41,43,"Linn County, Oregon",44.4968904,-122.5485977
10580,"Albany-Schenectady-Troy, NY Metro Area",36,1,"Albany County, New York",42.5986896,-73.9843997
10620,"Albemarle, NC Micro Area",37,167,"Stanly County, North Carolina",35.3235477,-80.2391366
10660,"Albert Lea, MN Micro Area",27,47,"Freeborn County, Minnesota",43.6763617,-93.3501681
10700,"Albertville, AL Micro Area",1,95,"Marshall County, Alabama",34.3396046,-86.3301801
10740,"Albuquerque, NM Metro Area",35,1,"Bernalillo County, New Mexico",35.0349239,-106.6870693
10760,"Alexander City, AL Micro Area",1,123,"Tallapoosa County, Alabama",32.8595687,-85.8023774
10780,"Alexandria, LA Metro Area",22,43,"Grant Parish, Louisiana",31.5748918,-92.5730029
10820,"Alexandria, MN Micro Area",27,41,"Douglas County, Minnesota",45.9340479,-95.4627651
10860,"Alice, TX Micro Area",48,47,"Brooks County, Texas",26.9879856,-98.2071041
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",34,41,"Warren County, New Jersey",40.8602222,-74.9720493
10940,"Alma, MI Micro Area",26,57,"Gratiot County, Michigan",43.2903117,-84.6098023
10980,"Alpena, MI Micro Area",26,7,"Alpena County, Michigan",45.0176181,-83.6670019
11020,"Altoona, PA Metro Area",42,13,"Blair County, Pennsylvania",40.4870748,-78.3682329
11060,"Altus, OK Micro Area",40,65,"Jackson County, Oklahoma",34.5976018,-99.4370196
11100,"Amarillo, TX Metro Area",48,11,"Armstrong County, Texas",34.9295608,-101.3449139
11140,"Americus, GA Micro Area",13,249,"Schley County, Georgia",32.2478949,-84.3175516
11180,"Ames, IA Metro Area",19,15,"Boone County, Iowa",42.0171798,-93.9254114
11200,"Amherst Town-Northampton, MA Metro Area",25,15,"Hampshire County, Massachusetts",42.3432499,-72.6213339
11220,"Amsterdam, NY Micro Area",36,57,"Montgomery County, New York",42.8941269,-74.4099745
11260,"Anchorage, AK Metro Area",2,20,"Anchorage Municipality, Alaska",61.2163129,-149.894852
11360,"Anderson Creek, NC Micro Area",37,85,"Harnett County, North Carolina",35.388093,-78.8624963
11380,"Andrews, TX Micro Area",48,3,"Andrews County, Texas",32.2690953,-102.6042447
11420,"Angola, IN Micro Area",18,151,"Steuben County, Indiana",41.6414101,-85.0023642
11460,"Ann Arbor, MI Metro Area",26,161,"Washtenaw County, Michigan",42.2582044,-83.8440853
11500,"Anniston-Oxford, AL Metro Area",1,15,"Calhoun County, Alabama",33.7514505,-85.8315666
11540,"Appleton, WI Metro Area",55,15,"Calumet County, Wisconsin",44.0751086,-88.2144321
11580,"Arcadia, FL Micro Area",12,27,"DeSoto County, Florida",27.190253,-81.8244232
11620,"Ardmore, OK Micro Area",40,19,"Carter County, Oklahoma",34.2330314,-97.2789479
11660,"Arkadelphia, AR Micro Area",5,19,"Clark County, Arkansas",34.0541966,-93.198963
11680,"Arkansas City-Winfield, KS Micro Area",20,35,"Cowley County, Kansas",37.2413155,-96.8675685
11700,"Asheville, NC Metro Area",37,21,"Buncombe County, North Carolina",35.6292222,-82.5255603
