msa,Total_Homes,Occupied_Homes,Vacant_Homes,Vacant_Homes_Percent
"Aberdeen, SD Micro Area",19825,17676,2149,10.83984867591425
"Aberdeen, WA Micro Area",36058,29869,6189,17.16401353375118
"Abilene, TX Metro Area",74341,65806,8535,11.480878653771136
"Ada, OK Micro Area",17406,15179,2227,12.794438699299093
"Adrian, MI Micro Area",43577,38581,4996,11.464763522041444
"Aguadilla-Isabela, PR Metro Area",150383,125759,24624,16.37419123172167
"Akron, OH Metro Area",317145,294385,22760,7.176528086521938
"Alamogordo, NM Micro Area",32210,25932,6278,19.49084135361689
"Albany, GA Metro Area",66756,59070,7686,11.513571813769548
"Albany-Lebanon, OR Metro Area",51921,49344,2577,4.963309643496851
"Albany-Schenectady-Troy, NY Metro Area",417490,376039,41451,9.928621044815443
"Albemarle, NC Micro Area",27685,24742,2943,10.630305219432906
"Albert Lea, MN Micro Area",14114,13076,1038,7.354399886637382
"Albertville, AL Micro Area",41245,37257,3988,9.669050794035641
"Albuquerque, NM Metro Area",395152,367863,27289,6.905950115398632
"Alexander City, AL Micro Area",28685,21827,6858,23.907965835802685
"Alexandria, LA Metro Area",66906,59091,7815,11.680566765312527
"Alexandria, MN Micro Area",21769,16557,5212,23.94230327529974
"Alice, TX Micro Area",20552,17271,3281,15.964383028415726
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",358023,334162,23861,6.664655622683459
"Alma, MI Micro Area",16032,14764,1268,7.909181636726546
"Alpena, MI Micro Area",15645,12901,2744,17.539149888143175
"Altoona, PA Metro Area",55700,51227,4473,8.03052064631957
"Altus, OK Micro Area",12017,9795,2222,18.490471831571938
"Amarillo, TX Metro Area",113641,102068,11573,10.183824499960402
"Americus, GA Micro Area",15419,13411,2008,13.022893832284844
"Ames, IA Metro Area",53282,49254,4028,7.559776284673998
"Amsterdam, NY Micro Area",22857,19968,2889,12.63945399658748
"Anchorage, AK Metro Area",169717,147723,21994,12.9592203491695
"Andrews, TX Micro Area",7020,6262,758,10.797720797720798
"Angola, IN Micro Area",18837,13766,5071,26.920422572596486
"Ann Arbor, MI Metro Area",156882,147847,9035,5.759105569791308
"Anniston-Oxford, AL Metro Area",53052,46437,6615,12.468898439267134
"Appleton, WI Metro Area",100642,96790,3852,3.827427912799825
"Arcadia, FL Micro Area",15548,11941,3607,23.19912528942629
"Ardmore, OK Micro Area",26264,22933,3331,12.682759671032592
"Arecibo, PR Metro Area",84970,73515,11455,13.48122866894198
"Arkadelphia, AR Micro Area",9977,8170,1807,18.111656810664527
"Asheville, NC Metro Area",231509,201667,29842,12.890211611643606
"Ashland, OH Micro Area",22471,20700,1771,7.881269191402252
"Ashtabula, OH Micro Area",46237,39329,6908,14.94041568440859
"Astoria, OR Micro Area",23017,17533,5484,23.82586783681627
"Atchison, KS Micro Area",6814,6109,705,10.346345758732022
"Athens, OH Micro Area",26386,23696,2690,10.194800272871978
"Athens, TN Micro Area",23934,21340,2594,10.838138213420239
"Athens, TX Micro Area",40643,32748,7895,19.42523927859656
"Athens-Clarke County, GA Metro Area",89257,83071,6186,6.930548864514828
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2414292,2258264,156028,6.462681398936003
"Atlantic City-Hammonton, NJ Metro Area",132038,106716,25322,19.177812447931654
"Atmore, AL Micro Area",16684,14499,2185,13.096379765044352
"Auburn, IN Micro Area",18096,16868,1228,6.786030061892132
"Auburn, NY Micro Area",36660,31328,5332,14.544462629569013
"Auburn-Opelika, AL Metro Area",74856,68728,6128,8.18638452495458
"Augusta-Richmond County, GA-SC Metro Area",263559,238635,24924,9.456706088579786
"Augusta-Waterville, ME Micro Area",62607,53223,9384,14.988739278355457
"Austin, MN Micro Area",16928,15700,1228,7.254253308128544
"Austin-Round Rock-Georgetown, TX Metro Area",946764,880668,66096,6.98125404007757
