msa,Unemployment (%),Remote (%),Travel_Time,Household_Income,Worker_Income
"Aberdeen, SD Micro Area",3.5,6.0,13.9,70693,40136
"Aberdeen, WA Micro Area",6.4,8.4,24.0,59105,35642
"Abilene, TX Metro Area",2.8,7.0,18.2,61924,33841
"Ada, OK Micro Area",4.3,3.2,17.9,59457,39638
"Adrian, MI Micro Area",5.6,7.3,26.8,65484,35277
"Aguadilla-Isabela, PR Metro Area",14.1,4.7,25.2,19455,17018
"Akron, OH Metro Area",5.3,11.0,23.8,68647,40173
"Alamogordo, NM Micro Area",9.6,4.8,22.2,50833,31191
"Albany, GA Metro Area",8.1,5.2,22.4,53173,35068
"Albany-Lebanon, OR Metro Area",6.2,8.9,25.0,69523,40112
"Albany-Schenectady-Troy, NY Metro Area",5.0,11.7,23.4,83360,47144
"Albemarle, NC Micro Area",4.3,6.4,28.2,60634,36537
"Albert Lea, MN Micro Area",4.4,6.8,20.3,65679,41769
"Albertville, AL Micro Area",3.8,5.7,25.3,58272,34543
"Albuquerque, NM Metro Area",5.7,11.1,24.4,63971,37907
"Alexander City, AL Micro Area",9.3,4.3,28.5,53054,33632
"Alexandria, LA Metro Area",5.5,3.7,24.5,55650,35377
"Alexandria, MN Micro Area",3.1,9.9,20.2,72472,41751
"Alice, TX Micro Area",5.9,7.4,26.6,46922,34092
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",5.5,10.4,27.4,78597,42538
"Alma, MI Micro Area",4.9,6.9,24.6,57934,32140
"Alpena, MI Micro Area",7.4,7.0,17.7,49133,30486
"Altoona, PA Metro Area",4.2,5.5,20.4,59386,36790
"Altus, OK Micro Area",4.2,3.4,13.8,60954,36908
"Amarillo, TX Metro Area",3.1,5.6,19.6,64147,38681
"Americus, GA Micro Area",6.1,7.2,20.9,39867,31966
"Ames, IA Metro Area",4.7,9.6,18.8,68107,29856
"Amsterdam, NY Micro Area",5.9,7.6,24.5,58033,37222
"Anchorage, AK Metro Area",5.6,8.9,22.9,93016,48129
"Andrews, TX Micro Area",2.7,2.6,25.4,86458,46109
"Angola, IN Micro Area",7.1,3.6,21.8,68837,35365
"Ann Arbor, MI Metro Area",4.7,17.8,23.6,84245,39045
"Anniston-Oxford, AL Metro Area",6.9,3.2,24.8,54339,31580
"Appleton, WI Metro Area",2.9,9.4,20.7,79958,46096
"Arcadia, FL Micro Area",9.7,6.4,27.7,45000,30312
"Ardmore, OK Micro Area",4.4,3.4,20.3,56968,35892
"Arecibo, PR Metro Area",11.4,5.2,26.5,22368,18186
"Arkadelphia, AR Micro Area",4.1,5.4,21.3,48071,23631
"Asheville, NC Metro Area",3.5,11.9,21.9,64538,36160
"Ashland, OH Micro Area",3.7,5.7,23.3,62254,34421
"Ashtabula, OH Micro Area",7.6,3.7,25.8,53663,33555
"Astoria, OR Micro Area",4.8,10.1,21.1,68025,37993
"Atchison, KS Micro Area",4.5,6.5,20.7,55281,26470
"Athens, OH Micro Area",5.7,9.2,22.8,48750,20492
"Athens, TN Micro Area",5.3,4.9,23.3,57982,37768
"Athens, TX Micro Area",5.5,7.8,29.8,59778,35433
"Athens-Clarke County, GA Metro Area",4.9,10.6,23.7,59130,31191
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",5.0,16.1,31.5,82625,45128
"Atlantic City-Hammonton, NJ Metro Area",8.3,7.2,25.5,73113,38183
"Atmore, AL Micro Area",9.2,0.8,21.6,41153,33051
"Auburn, IN Micro Area",4.3,3.8,20.6,68110,40324
"Auburn, NY Micro Area",4.3,6.4,23.1,63227,41123
"Auburn-Opelika, AL Metro Area",3.8,7.2,22.0,59288,34621
"Augusta-Richmond County, GA-SC Metro Area",6.4,7.3,24.1,62941,36286
"Augusta-Waterville, ME Micro Area",4.1,12.0,23.9,62118,39393
"Austin, MN Micro Area",3.2,5.9,19.6,66972,42388
"Austin-Round Rock-Georgetown, TX Metro Area",4.3,20.7,27.3,92939,49624
"Bainbridge, GA Micro Area",6.4,2.1,20.3,47383,34886
"Bakersfield, CA Metro Area",8.4,6.3,23.9,63883,33824
"Baltimore-Columbia-Towson, MD Metro Area",4.9,13.8,30.3,94167,54270
"Bangor, ME Metro Area",4.3,9.4,22.6,59438,36303
"Baraboo, WI Micro Area",2.8,7.7,22.8,72930,41327
"Bardstown, KY Micro Area",2.9,4.6,25.4,66212,39648
"Barnstable Town, MA Metro Area",4.5,13.1,25.0,90447,45362
"Barre, VT Micro Area",3.0,15.9,23.4,77278,44997
"Bartlesville, OK Micro Area",3.8,5.2,20.2,59426,35296
"Batavia, NY Micro Area",4.7,5.3,23.4,68178,41080
"Batesville, AR Micro Area",5.5,4.3,20.8,48875,30717
"Baton Rouge, LA Metro Area",6.5,5.9,27.4,67979,41016
"Battle Creek, MI Metro Area",6.8,6.4,20.6,58191,36554
"Bay City, MI Metro Area",4.8,6.8,23.1,57887,35737
"Bay City, TX Micro Area",6.7,2.9,24.9,56412,36310
"Beatrice, NE Micro Area",2.0,7.0,22.5,60035,37693
"Beaumont-Port Arthur, TX Metro Area",5.4,2.9,22.7,62427,39368
"Beaver Dam, WI Micro Area",4.1,6.5,23.5,71747,42484
"Beckley, WV Metro Area",7.2,5.1,26.2,48859,33872
"Bedford, IN Micro Area",3.3,4.4,26.1,64210,36700
"Beeville, TX Micro Area",6.4,4.6,22.1,50283,31646
"Bellefontaine, OH Micro Area",3.5,6.6,22.2,69125,40195
"Bellingham, WA Metro Area",4.9,11.3,21.9,77581,40626
"Bemidji, MN Micro Area",5.4,7.8,21.1,62173,34643
"Bend, OR Metro Area",5.2,17.9,19.9,82042,41848
"Bennettsville, SC Micro Area",7.8,3.3,26.1,34275,30259
"Bennington, VT Micro Area",4.2,14.3,19.3,68558,38505
"Berlin, NH Micro Area",4.2,7.8,22.3,55247,34353
"Big Rapids, MI Micro Area",5.5,5.4,23.5,54132,28952
"Big Spring, TX Micro Area",5.2,2.4,21.4,67243,41460
"Big Stone Gap, VA Micro Area",8.9,6.7,23.0,46680,30796
"Billings, MT Metro Area",3.5,7.3,19.7,72377,39187
"Binghamton, NY Metro Area",6.7,7.0,20.6,61271,36259
"Birmingham-Hoover, AL Metro Area",4.9,9.1,27.0,68329,41544
"Bismarck, ND Metro Area",2.6,6.9,18.4,81846,46963
"Blackfoot, ID Micro Area",6.1,6.1,22.8,69433,32815
"Blacksburg-Christiansburg, VA Metro Area",3.6,7.7,20.3,62017,32482
"Bloomington, IL Metro Area",3.2,13.3,18.3,75356,40997
"Bloomington, IN Metro Area",5.7,12.3,22.2,59998,29293
"Bloomsburg-Berwick, PA Metro Area",4.2,9.2,20.8,61559,38820
"Bluefield, WV-VA Micro Area",4.7,4.5,23.9,47294,35240
"Bluffton, IN Micro Area",2.4,4.8,23.8,68074,38681
"Blytheville, AR Micro Area",9.8,2.3,19.1,50012,33463
"Bogalusa, LA Micro Area",10.5,2.9,32.8,41803,27828
"Boise City, ID Metro Area",3.3,13.2,22.7,78138,39287
"Bonham, TX Micro Area",4.7,11.0,31.7,65835,40507
"Boone, NC Micro Area",9.3,8.9,20.0,50034,20673
"Borger, TX Micro Area",4.3,2.5,20.4,62211,35030
"Boston-Cambridge-Newton, MA-NH Metro Area",5.0,16.3,30.8,107117,56419
"Boulder, CO Metro Area",4.4,24.4,23.4,99770,44878
"Bowling Green, KY Metro Area",5.2,5.3,22.4,60914,33030
"Bozeman, MT Micro Area",2.1,14.5,18.5,83434,37852
"Bradford, PA Micro Area",5.3,4.4,20.7,57861,35008
"Brainerd, MN Micro Area",5.4,9.7,23.1,64975,37292
"Branson, MO Micro Area",5.1,8.4,23.8,54467,27193
"Breckenridge, CO Micro Area",3.7,19.3,19.9,100611,47086
"Bremerton-Silverdale-Port Orchard, WA Metro Area",4.7,11.6,29.3,93675,47231
"Brenham, TX Micro Area",2.7,7.2,21.2,70043,37523
"Brevard, NC Micro Area",4.0,10.0,22.1,62056,33955
"Bridgeport-Stamford-Norwalk, CT Metro Area",6.2,15.2,30.7,107351,52104
"Brookhaven, MS Micro Area",4.3,3.0,27.6,47069,34863
"Brookings, OR Micro Area",7.2,16.4,17.1,64300,37989
"Brookings, SD Micro Area",3.9,9.9,14.3,64438,32169
