"Label (Grouping)","Total:","Total:!!Occupied","Total:!!Vacant"
"Aberdeen, SD Micro Area","","",""
"    Aberdeen, SD Micro Area","19,825","17,676","2,149"
"Aberdeen, WA Micro Area","","",""
"    Aberdeen, WA Micro Area","36,058","29,869","6,189"
"Abilene, TX Metro Area","","",""
"    Abilene, TX Metro Area","74,341","65,806","8,535"
"Ada, OK Micro Area","","",""
"    Ada, OK Micro Area","17,406","15,179","2,227"
"Adrian, MI Micro Area","","",""
"    Adrian, MI Micro Area","43,577","38,581","4,996"
"Aguadilla-Isabela, PR Metro Area","","",""
"    Aguadilla-Isabela, PR Metro Area","150,383","125,759","24,624"
"Akron, OH Metro Area","","",""
"    Akron, OH Metro Area","317,145","294,385","22,760"
"Alamogordo, NM Micro Area","","",""
"    Alamogordo, NM Micro Area","32,210","25,932","6,278"
"Albany, GA Metro Area","","",""
"    Albany, GA Metro Area","66,756","59,070","7,686"
"Albany-Lebanon, OR Metro Area","","",""
"    Albany-Lebanon, OR Metro Area","51,921","49,344","2,577"
"Albany-Schenectady-Troy, NY Metro Area","","",""
"    Albany-Schenectady-Troy, NY Metro Area","417,490","376,039","41,451"
"Albemarle, NC Micro Area","","",""
"    Albemarle, NC Micro Area","27,685","24,742","2,943"
"Albert Lea, MN Micro Area","","",""
"    Albert Lea, MN Micro Area","14,114","13,076","1,038"
"Albertville, AL Micro Area","","",""
"    Albertville, AL Micro Area","41,245","37,257","3,988"
"Albuquerque, NM Metro Area","","",""
"    Albuquerque, NM Metro Area","395,152","367,863","27,289"
"Alexander City, AL Micro Area","","",""
"    Alexander City, AL Micro Area","28,685","21,827","6,858"
"Alexandria, LA Metro Area","","",""
"    Alexandria, LA Metro Area","66,906","59,091","7,815"
"Alexandria, MN Micro Area","","",""
"    Alexandria, MN Micro Area","21,769","16,557","5,212"
"Alice, TX Micro Area","","",""
"    Alice, TX Micro Area","20,552","17,271","3,281"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","","",""
"    Allentown-Bethlehem-Easton, PA-NJ Metro Area","358,023","334,162","23,861"
"Alma, MI Micro Area","","",""
"    Alma, MI Micro Area","16,032","14,764","1,268"
"Alpena, MI Micro Area","","",""
"    Alpena, MI Micro Area","15,645","12,901","2,744"
"Altoona, PA Metro Area","","",""
"    Altoona, PA Metro Area","55,700","51,227","4,473"
"Altus, OK Micro Area","","",""
"    Altus, OK Micro Area","12,017","9,795","2,222"
"Amarillo, TX Metro Area","","",""
"    Amarillo, TX Metro Area","113,641","102,068","11,573"
"Americus, GA Micro Area","","",""
"    Americus, GA Micro Area","15,419","13,411","2,008"
"Ames, IA Metro Area","","",""
"    Ames, IA Metro Area","53,282","49,254","4,028"
"Amsterdam, NY Micro Area","","",""
"    Amsterdam, NY Micro Area","22,857","19,968","2,889"
"Anchorage, AK Metro Area","","",""
"    Anchorage, AK Metro Area","169,717","147,723","21,994"
"Andrews, TX Micro Area","","",""
"    Andrews, TX Micro Area","7,020","6,262","758"
"Angola, IN Micro Area","","",""
"    Angola, IN Micro Area","18,837","13,766","5,071"
"Ann Arbor, MI Metro Area","","",""
"    Ann Arbor, MI Metro Area","156,882","147,847","9,035"
"Anniston-Oxford, AL Metro Area","","",""
"    Anniston-Oxford, AL Metro Area","53,052","46,437","6,615"
"Appleton, WI Metro Area","","",""
"    Appleton, WI Metro Area","100,642","96,790","3,852"
"Arcadia, FL Micro Area","","",""
"    Arcadia, FL Micro Area","15,548","11,941","3,607"
"Ardmore, OK Micro Area","","",""
"    Ardmore, OK Micro Area","26,264","22,933","3,331"
"Arecibo, PR Metro Area","","",""
"    Arecibo, PR Metro Area","84,970","73,515","11,455"
"Arkadelphia, AR Micro Area","","",""
"    Arkadelphia, AR Micro Area","9,977","8,170","1,807"
"Asheville, NC Metro Area","","",""
"    Asheville, NC Metro Area","231,509","201,667","29,842"
"Ashland, OH Micro Area","","",""
"    Ashland, OH Micro Area","22,471","20,700","1,771"
"Ashtabula, OH Micro Area","","",""
"    Ashtabula, OH Micro Area","46,237","39,329","6,908"
