"Label (Grouping)","EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate","COMMUTING TO WORK!!Workers 16 years and over!!Worked from home","COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes)","INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars)","INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Median earnings for workers (dollars)"
"Aberdeen, SD Micro Area","","","","",""
"    Estimate","(X)","1,351","13.9","70,693","40,136"
"    Percent","3.5%","6.0%","(X)","(X)","(X)"
"Aberdeen, WA Micro Area","","","","",""
"    Estimate","(X)","2,401","24.0","59,105","35,642"
"    Percent","6.4%","8.4%","(X)","(X)","(X)"
"Abilene, TX Metro Area","","","","",""
"    Estimate","(X)","5,818","18.2","61,924","33,841"
"    Percent","2.8%","7.0%","(X)","(X)","(X)"
"Ada, OK Micro Area","","","","",""
"    Estimate","(X)","542","17.9","59,457","39,638"
"    Percent","4.3%","3.2%","(X)","(X)","(X)"
"Adrian, MI Micro Area","","","","",""
"    Estimate","(X)","3,146","26.8","65,484","35,277"
"    Percent","5.6%","7.3%","(X)","(X)","(X)"
"Aguadilla-Isabela, PR Metro Area","","","","",""
"    Estimate","(X)","4,113","25.2","19,455","17,018"
"    Percent","14.1%","4.7%","(X)","(X)","(X)"
"Akron, OH Metro Area","","","","",""
"    Estimate","(X)","38,128","23.8","68,647","40,173"
"    Percent","5.3%","11.0%","(X)","(X)","(X)"
"Alamogordo, NM Micro Area","","","","",""
"    Estimate","(X)","1,275","22.2","50,833","31,191"
"    Percent","9.6%","4.8%","(X)","(X)","(X)"
"Albany, GA Metro Area","","","","",""
"    Estimate","(X)","3,139","22.4","53,173","35,068"
"    Percent","8.1%","5.2%","(X)","(X)","(X)"
"Albany-Lebanon, OR Metro Area","","","","",""
"    Estimate","(X)","5,061","25.0","69,523","40,112"
"    Percent","6.2%","8.9%","(X)","(X)","(X)"
"Albany-Schenectady-Troy, NY Metro Area","","","","",""
"    Estimate","(X)","52,322","23.4","83,360","47,144"
"    Percent","5.0%","11.7%","(X)","(X)","(X)"
"Albemarle, NC Micro Area","","","","",""
"    Estimate","(X)","1,808","28.2","60,634","36,537"
"    Percent","4.3%","6.4%","(X)","(X)","(X)"
"Albert Lea, MN Micro Area","","","","",""
"    Estimate","(X)","982","20.3","65,679","41,769"
"    Percent","4.4%","6.8%","(X)","(X)","(X)"
"Albertville, AL Micro Area","","","","",""
"    Estimate","(X)","2,332","25.3","58,272","34,543"
"    Percent","3.8%","5.7%","(X)","(X)","(X)"
"Albuquerque, NM Metro Area","","","","",""
"    Estimate","(X)","46,858","24.4","63,971","37,907"
"    Percent","5.7%","11.1%","(X)","(X)","(X)"
"Alexander City, AL Micro Area","","","","",""
"    Estimate","(X)","829","28.5","53,054","33,632"
"    Percent","9.3%","4.3%","(X)","(X)","(X)"
"Alexandria, LA Metro Area","","","","",""
"    Estimate","(X)","2,285","24.5","55,650","35,377"
"    Percent","5.5%","3.7%","(X)","(X)","(X)"
"Alexandria, MN Micro Area","","","","",""
"    Estimate","(X)","1,917","20.2","72,472","41,751"
"    Percent","3.1%","9.9%","(X)","(X)","(X)"
"Alice, TX Micro Area","","","","",""
"    Estimate","(X)","1,366","26.6","46,922","34,092"
"    Percent","5.9%","7.4%","(X)","(X)","(X)"
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","","","","",""
"    Estimate","(X)","43,454","27.4","78,597","42,538"
"    Percent","5.5%","10.4%","(X)","(X)","(X)"
"Alma, MI Micro Area","","","","",""
"    Estimate","(X)","1,151","24.6","57,934","32,140"
"    Percent","4.9%","6.9%","(X)","(X)","(X)"
"Alpena, MI Micro Area","","","","",""
"    Estimate","(X)","828","17.7","49,133","30,486"
"    Percent","7.4%","7.0%","(X)","(X)","(X)"
"Altoona, PA Metro Area","","","","",""
"    Estimate","(X)","3,091","20.4","59,386","36,790"
"    Percent","4.2%","5.5%","(X)","(X)","(X)"
"Altus, OK Micro Area","","","","",""
"    Estimate","(X)","394","13.8","60,954","36,908"
"    Percent","4.2%","3.4%","(X)","(X)","(X)"
"Amarillo, TX Metro Area","","","","",""
"    Estimate","(X)","7,094","19.6","64,147","38,681"
"    Percent","3.1%","5.6%","(X)","(X)","(X)"
"Americus, GA Micro Area","","","","",""
"    Estimate","(X)","987","20.9","39,867","31,966"
"    Percent","6.1%","7.2%","(X)","(X)","(X)"
"Ames, IA Metro Area","","","","",""
"    Estimate","(X)","6,298","18.8","68,107","29,856"
"    Percent","4.7%","9.6%","(X)","(X)","(X)"
"Amsterdam, NY Micro Area","","","","",""
"    Estimate","(X)","1,653","24.5","58,033","37,222"
"    Percent","5.9%","7.6%","(X)","(X)","(X)"
"Anchorage, AK Metro Area","","","","",""
"    Estimate","(X)","17,320","22.9","93,016","48,129"
"    Percent","5.6%","8.9%","(X)","(X)","(X)"
"Andrews, TX Micro Area","","","","",""
"    Estimate","(X)","233","25.4","86,458","46,109"
"    Percent","2.7%","2.6%","(X)","(X)","(X)"
"Angola, IN Micro Area","","","","",""
"    Estimate","(X)","580","21.8","68,837","35,365"
"    Percent","7.1%","3.6%","(X)","(X)","(X)"
"Ann Arbor, MI Metro Area","","","","",""
"    Estimate","(X)","32,753","23.6","84,245","39,045"
"    Percent","4.7%","17.8%","(X)","(X)","(X)"
"Anniston-Oxford, AL Metro Area","","","","",""
"    Estimate","(X)","1,570","24.8","54,339","31,580"
"    Percent","6.9%","3.2%","(X)","(X)","(X)"
"Appleton, WI Metro Area","","","","",""
"    Estimate","(X)","12,158","20.7","79,958","46,096"
"    Percent","2.9%","9.4%","(X)","(X)","(X)"
"Arcadia, FL Micro Area","","","","",""
"    Estimate","(X)","769","27.7","45,000","30,312"
"    Percent","9.7%","6.4%","(X)","(X)","(X)"
"Ardmore, OK Micro Area","","","","",""
"    Estimate","(X)","846","20.3","56,968","35,892"
"    Percent","4.4%","3.4%","(X)","(X)","(X)"
"Arecibo, PR Metro Area","","","","",""
"    Estimate","(X)","2,910","26.5","22,368","18,186"
"    Percent","11.4%","5.2%","(X)","(X)","(X)"
"Arkadelphia, AR Micro Area","","","","",""
"    Estimate","(X)","526","21.3","48,071","23,631"
"    Percent","4.1%","5.4%","(X)","(X)","(X)"
"Asheville, NC Metro Area","","","","",""
"    Estimate","(X)","26,147","21.9","64,538","36,160"
"    Percent","3.5%","11.9%","(X)","(X)","(X)"
"Ashland, OH Micro Area","","","","",""
"    Estimate","(X)","1,388","23.3","62,254","34,421"
"    Percent","3.7%","5.7%","(X)","(X)","(X)"
"Ashtabula, OH Micro Area","","","","",""
"    Estimate","(X)","1,522","25.8","53,663","33,555"
"    Percent","7.6%","3.7%","(X)","(X)","(X)"
"Astoria, OR Micro Area","","","","",""
"    Estimate","(X)","1,851","21.1","68,025","37,993"
"    Percent","4.8%","10.1%","(X)","(X)","(X)"
"Atchison, KS Micro Area","","","","",""
"    Estimate","(X)","498","20.7","55,281","26,470"
"    Percent","4.5%","6.5%","(X)","(X)","(X)"
"Athens, OH Micro Area","","","","",""
"    Estimate","(X)","2,527","22.8","48,750","20,492"
"    Percent","5.7%","9.2%","(X)","(X)","(X)"
"Athens, TN Micro Area","","","","",""
"    Estimate","(X)","1,082","23.3","57,982","37,768"
"    Percent","5.3%","4.9%","(X)","(X)","(X)"
"Athens, TX Micro Area","","","","",""
"    Estimate","(X)","2,582","29.8","59,778","35,433"
"    Percent","5.5%","7.8%","(X)","(X)","(X)"
"Athens-Clarke County, GA Metro Area","","","","",""
"    Estimate","(X)","10,885","23.7","59,130","31,191"
"    Percent","4.9%","10.6%","(X)","(X)","(X)"
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","","","","",""
"    Estimate","(X)","482,968","31.5","82,625","45,128"
"    Percent","5.0%","16.1%","(X)","(X)","(X)"
"Atlantic City-Hammonton, NJ Metro Area","","","","",""
"    Estimate","(X)","9,097","25.5","73,113","38,183"
"    Percent","8.3%","7.2%","(X)","(X)","(X)"
"Atmore, AL Micro Area","","","","",""
"    Estimate","(X)","105","21.6","41,153","33,051"
"    Percent","9.2%","0.8%","(X)","(X)","(X)"
"Auburn, IN Micro Area","","","","",""
"    Estimate","(X)","797","20.6","68,110","40,324"
"    Percent","4.3%","3.8%","(X)","(X)","(X)"
"Auburn, NY Micro Area","","","","",""
"    Estimate","(X)","2,166","23.1","63,227","41,123"
"    Percent","4.3%","6.4%","(X)","(X)","(X)"
"Auburn-Opelika, AL Metro Area","","","","",""
"    Estimate","(X)","5,796","22.0","59,288","34,621"
